Oyuncu_Adi;Yas;Saha;Rakip;Oynama_Sure;Sayi;Rebound;Asist;PIR;Etki;Seyahat_Mesafe;Seyahat_Sure;Dinlenme_Sure;Tarih;Round;RakipForm;fg2;fg3
Shane Larkin;31;1;FC Barcelona;32;16;0;12;26;-10;2235;167;7;5.10.2023;1;0,8;0,86;0,2
Derek Willis;28;1;FC Barcelona;27;8;6;2;12;-13;2235;167;4;5.10.2023;1;0,8;0,5;0,33
Elijah Bryant;29;1;FC Barcelona;16;10;2;3;10;-13;2235;167;7;5.10.2023;1;0,8;0,4;0,5
Will Clyburn;33;1;FC Barcelona;27;7;4;1;3;-14;2235;167;4;5.10.2023;1;0,8;0,25;0,25
Rodrigue Beaubois;36;1;FC Barcelona;15;4;0;0;0;-15;2235;167;4;5.10.2023;1;0,8;0;0,33
Darius Thompson;28;1;FC Barcelona;26;2;2;3;-4;-2;2235;167;4;5.10.2023;1;0,8;0,2;0
Scottie Wilbekin;31;0;Emporio Armani Milano;31;19;1;4;16;5;0;0;7;6.10.2023;1;0,2;0,5;0,5
Dyshawn Pierre;30;0;Emporio Armani Milano;33;11;6;2;13;-2;0;0;7;6.10.2023;1;0,2;0,2;1
Marko Guduric;29;0;Emporio Armani Milano;18;15;1;1;13;0;0;0;7;6.10.2023;1;0,2;1;0,33
Nigel Hayes-Davis;31;0;Emporio Armani Milano;30;0;2;0;-6;1;0;0;4;6.10.2023;1;0,2;0;0
Scottie Wilbekin;31;1;Valencia Basket;21;14;2;2;15;-2;3278;231;6;13.10.2023;2;0,8;0,67;0,5
Nigel Hayes-Davis;31;1;Valencia Basket;33;11;6;2;14;5;3278;231;6;13.10.2023;2;0,8;0,67;0,29
Marko Guduric;29;1;Valencia Basket;21;6;3;1;1;-2;3278;231;3;13.10.2023;2;0,8;0,4;0
Dyshawn Pierre;30;1;Valencia Basket;14;0;5;1;0;-6;3278;231;3;13.10.2023;2;0,8;0;0
Darius Thompson;28;0;Real Madrid;32;20;7;5;23;-10;0;0;3;12.10.2023;2;1;0,67;0,67
Rodrigue Beaubois;36;0;Real Madrid;22;19;3;1;17;2;0;0;3;12.10.2023;2;1;0,6;0,67
Derek Willis;28;0;Real Madrid;21;9;2;0;8;-5;0;0;3;12.10.2023;2;1;0;0,6
Shane Larkin;31;0;Real Madrid;24;5;2;4;6;-47;0;0;6;12.10.2023;2;1;0,33;0,33
Will Clyburn;33;0;Real Madrid;17;4;5;1;1;-30;0;0;6;12.10.2023;2;1;0,17;0
Shane Larkin;31;0;LDLC ASVEL Villeurbanne;32;18;6;6;23;16;0;0;4;17.10.2023;3;0;0,5;0,43
Nick Calathes;35;0;Panathinaikos Athens;29;12;4;5;19;22;0;0;1;17.10.2023;3;0,4;0,75;0,67
Marko Guduric;29;0;Panathinaikos Athens;29;12;4;5;19;22;0;0;1;17.10.2023;3;0,4;1;1
Rodrigue Beaubois;36;0;LDLC ASVEL Villeurbanne;29;14;4;3;17;7;0;0;2;17.10.2023;3;0;0,75;0,4
Will Clyburn;33;0;LDLC ASVEL Villeurbanne;32;19;6;4;17;11;0;0;2;17.10.2023;3;0;0,6;0,33
Darius Thompson;28;0;LDLC ASVEL Villeurbanne;16;14;2;2;14;2;0;0;2;17.10.2023;3;0;0,75;0,33
Dyshawn Pierre;30;0;Panathinaikos Athens;28;4;10;3;12;27;0;0;3;17.10.2023;3;0,4;0,4;0
Derek Willis;28;0;LDLC ASVEL Villeurbanne;31;7;2;0;8;4;0;0;4;17.10.2023;3;0;1;0,33
Nigel Hayes-Davis;31;0;Panathinaikos Athens;27;7;2;1;3;21;0;0;1;17.10.2023;3;0,4;1;0,14
Scottie Wilbekin;31;0;Panathinaikos Athens;20;7;1;0;0;-3;0;0;3;17.10.2023;3;0,4;0;0,22
Shane Larkin;31;0;Valencia Basket;32;15;8;6;26;2;0;0;2;20.10.2023;4;0,8;0,67;0,33
Nick Calathes;35;0;LDLC ASVEL Villeurbanne;23;7;8;9;20;13;0;0;1;19.10.2023;4;0;0,33;1
Will Clyburn;33;0;Valencia Basket;34;13;6;2;18;0;0;0;2;20.10.2023;4;0,8;0,71;0
Scottie Wilbekin;31;0;LDLC ASVEL Villeurbanne;20;18;2;2;18;6;0;0;1;19.10.2023;4;0;0,6;0,43
Nigel Hayes-Davis;31;0;LDLC ASVEL Villeurbanne;27;14;3;4;15;24;0;0;1;19.10.2023;4;0;1;0,33
Rodrigue Beaubois;36;0;Valencia Basket;23;14;2;4;14;12;0;0;2;20.10.2023;4;0,8;0,57;0,33
Darius Thompson;28;0;Valencia Basket;28;13;1;5;12;2;0;0;2;20.10.2023;4;0,8;0,8;0,25
Derek Willis;28;0;Valencia Basket;24;7;4;3;11;10;0;0;2;20.10.2023;4;0,8;1;0,25
Dyshawn Pierre;30;0;LDLC ASVEL Villeurbanne;22;7;3;1;8;-8;0;0;1;19.10.2023;4;0;1;0,2
Marko Guduric;29;0;LDLC ASVEL Villeurbanne;27;14;3;4;8;5;0;0;1;19.10.2023;4;0;0,5;0,29
Scottie Wilbekin;31;1;FC Bayern Munich;23;17;5;5;23;13;1571;110;7;27.10.2023;5;0,4;0,5;0,57
Marko Guduric;29;1;FC Bayern Munich;29;14;6;1;15;2;1571;110;4;27.10.2023;5;0,4;0,5;0,25
Nigel Hayes-Davis;31;1;FC Bayern Munich;31;9;6;2;10;1;1571;110;4;27.10.2023;5;0,4;0,33;0,2
Dyshawn Pierre;30;1;FC Bayern Munich;21;6;6;0;9;-7;1571;110;7;27.10.2023;5;0,4;0,5;0
Nick Calathes;35;1;FC Bayern Munich;19;4;2;0;0;-5;1571;110;4;27.10.2023;5;0,4;0,33;0
Shane Larkin;31;1;Olympiacos Piraeus;29;8;1;5;10;-19;616;150;5;26.10.2023;5;0,6;0,33;0,4
Elijah Bryant;29;1;Olympiacos Piraeus;23;10;2;2;10;-12;616;150;7;26.10.2023;5;0,6;0,5;0,2
Will Clyburn;33;1;Olympiacos Piraeus;26;5;9;1;7;-13;616;150;5;26.10.2023;5;0,6;0,25;0,17
Derek Willis;28;1;Olympiacos Piraeus;22;8;1;1;7;-11;616;150;3;26.10.2023;5;0,6;0,5;0,4
Darius Thompson;28;1;Olympiacos Piraeus;19;9;3;1;6;-3;616;150;3;26.10.2023;5;0,6;0,6;0,25
Rodrigue Beaubois;36;1;Olympiacos Piraeus;23;0;4;3;0;-12;616;150;3;26.10.2023;5;0,6;0;0
Rodrigue Beaubois;36;1;Virtus Segafredo Bologna;34;17;4;3;22;-8;1480;110;7;3.11.2023;6;0,5;0,6;0,6
Elijah Bryant;29;1;Virtus Segafredo Bologna;20;7;4;3;12;-5;1480;110;7;3.11.2023;6;0,5;1;1
Will Clyburn;33;1;Virtus Segafredo Bologna;25;10;2;0;10;-12;1480;110;7;3.11.2023;6;0,5;0,67;0
Shane Larkin;31;1;Virtus Segafredo Bologna;32;16;2;2;8;-11;1480;110;7;3.11.2023;6;0,5;0,43;0,25
Derek Willis;28;1;Virtus Segafredo Bologna;23;4;7;1;5;-8;1480;110;7;3.11.2023;6;0,5;0,67;0
Darius Thompson;28;1;Virtus Segafredo Bologna;25;6;0;0;0;-4;1480;110;7;3.11.2023;6;0,5;0;1
Nigel Hayes-Davis;31;0;Olympiacos Piraeus;40;9;7;4;18;2;0;0;5;2.11.2023;6;0,5;0,67;0
Nick Calathes;35;0;Olympiacos Piraeus;20;6;4;5;11;2;0;0;3;2.11.2023;6;0,5;0,75;0
Scottie Wilbekin;31;0;Olympiacos Piraeus;25;7;1;4;6;-6;0;0;5;2.11.2023;6;0,5;0;0,17
Marko Guduric;29;0;Olympiacos Piraeus;20;4;1;4;3;7;0;0;5;2.11.2023;6;0,5;0,4;0
Nigel Hayes-Davis;31;1;Partizan Belgrade;40;23;6;3;35;-1;799;90;3;9.11.2023;7;0,5;1;0,75
Scottie Wilbekin;31;1;Partizan Belgrade;26;9;2;3;6;-8;799;90;6;9.11.2023;7;0,5;0,5;0,14
Will Clyburn;33;0;Zalgiris Kaunas;40;20;7;2;28;10;0;0;5;9.11.2023;7;0,33;0,6;0,5
Derek Willis;28;0;Zalgiris Kaunas;39;11;10;0;19;-6;0;0;3;9.11.2023;7;0,33;0;0,5
Darius Thompson;28;0;Zalgiris Kaunas;34;17;2;5;17;15;0;0;3;9.11.2023;7;0,33;0,5;0,67
Shane Larkin;31;0;Zalgiris Kaunas;34;14;1;5;12;-4;0;0;5;9.11.2023;7;0,33;0,29;0,33
Rodrigue Beaubois;36;0;Zalgiris Kaunas;24;5;2;0;-1;7;0;0;5;9.11.2023;7;0,33;1;0,2
Shane Larkin;31;1;AS Monaco;35;25;1;4;25;12;1785;130;4;14.11.2023;8;0,67;0,75;0,44
Rodrigue Beaubois;36;1;AS Monaco;31;21;2;5;22;-1;1785;130;2;14.11.2023;8;0,67;0,86;0,6
Darius Thompson;28;1;AS Monaco;32;16;3;5;19;16;1785;130;2;14.11.2023;8;0,67;0,4;0,5
Derek Willis;28;1;AS Monaco;29;8;5;2;15;2;1785;130;2;14.11.2023;8;0,67;0;0,5
Will Clyburn;33;1;AS Monaco;22;4;6;5;9;-1;1785;130;4;14.11.2023;8;0,67;0,5;0
Nigel Hayes-Davis;31;1;Crvena Zvezda Belgrade;28;12;3;1;10;-21;799;90;4;14.11.2023;8;0,4;0,5;0,5
Scottie Wilbekin;31;1;Crvena Zvezda Belgrade;24;6;3;1;1;-17;799;90;2;14.11.2023;8;0,4;0;0,4
Scottie Wilbekin;31;1;Maccabi Playtika Tel Aviv;29;18;4;7;20;-7;1138;80;1;16.11.2023;9;0,5;0;0,45
Nigel Hayes-Davis;31;1;Maccabi Playtika Tel Aviv;39;16;6;1;15;-5;1138;80;1;16.11.2023;9;0,5;0,57;0,17
Will Clyburn;33;1;Emporia Armani Milano;35;18;7;4;25;-10;248;50;1;16.11.2023;9;0,5;0,62;0,2
Darius Thompson;28;1;Emporia Armani Milano;35;17;0;3;16;-12;248;50;1;16.11.2023;9;0,5;0,83;0,25
Derek Willis;28;1;Emporia Armani Milano;29;8;6;1;13;-14;248;50;1;16.11.2023;9;0,5;0,5;0,67
Shane Larkin;31;1;Emporia Armani Milano;35;13;0;7;11;-17;248;50;1;16.11.2023;9;0,5;0,67;0,29
Rodrigue Beaubois;36;1;Emporia Armani Milano;17;5;1;0;-2;-8;248;50;1;16.11.2023;9;0,5;0,5;0,2
Nigel Hayes-Davis;31;1;Virtus Segafredo Bologna;33;10;3;2;13;-6;1480;110;3;23.11.2023;10;0,5;0,5;0
Marko Guduric;29;1;Virtus Segafredo Bologna;21;9;3;4;11;6;1480;110;7;23.11.2023;10;0,5;0,33;0,2
Nick Calathes;35;1;Virtus Segafredo Bologna;22;8;3;4;10;-13;1480;110;7;23.11.2023;10;0,5;0,8;0
Scottie Wilbekin;31;1;Virtus Segafredo Bologna;29;13;2;3;6;0;1480;110;3;23.11.2023;10;0,5;0,17;0,37
Shane Larkin;31;0;Partizan Belgrade;33;27;3;8;38;11;0;0;7;24.11.2023;10;0,5;0,67;0,67
Will Clyburn;33;0;Partizan Belgrade;36;12;1;2;14;7;0;0;4;24.11.2023;10;0,5;1;0,25
Darius Thompson;28;0;Partizan Belgrade;34;18;0;2;12;0;0;0;4;24.11.2023;10;0,5;0,8;0,6
Derek Willis;28;0;Partizan Belgrade;18;10;0;1;12;11;0;0;4;24.11.2023;10;0,5;1;0,5
Rodrigue Beaubois;36;0;Partizan Belgrade;28;8;3;2;9;10;0;0;7;24.11.2023;10;0,5;0,25;0,67
Shane Larkin;31;1;Crvena Zvezda Belgrade;34;21;0;5;19;-19;799;90;6;1.12.2023;11;0,43;0,5;0,33
Will Clyburn;33;1;Crvena Zvezda Belgrade;33;17;5;3;15;-13;799;90;3;1.12.2023;11;0,43;0,46;0,33
Rodrigue Beaubois;36;1;Crvena Zvezda Belgrade;32;13;1;2;6;-5;799;90;3;1.12.2023;11;0,43;0,5;0,37
Darius Thompson;28;1;Crvena Zvezda Belgrade;30;9;4;2;6;-15;799;90;3;1.12.2023;11;0,43;0,5;0
Marko Guduric;29;0;Real Madrid;33;21;7;5;29;9;0;0;3;30.11.2023;11;0,83;0,5;0,4
Scottie Wilbekin;31;0;Real Madrid;24;19;5;0;22;10;0;0;6;30.11.2023;11;0,83;0,62;0,67
Nigel Hayes-Davis;31;0;Real Madrid;37;16;7;1;21;-6;0;0;3;30.11.2023;11;0,83;0,86;0,25
Nick Calathes;35;0;Real Madrid;21;13;1;1;4;3;0;0;3;30.11.2023;11;0,83;0,5;0,5
Dyshawn Pierre;30;0;Real Madrid;15;0;2;0;-4;-11;0;0;7;30.11.2023;11;0,83;0;0
Nigel Hayes-Davis;31;1;Baskonia Vitoria-Gasteiz;36;19;4;6;23;7;2693;323;3;6.12.2023;12;0,57;0,43;0,57
Marko Guduric;29;1;Baskonia Vitoria-Gasteiz;25;14;4;3;16;-4;2693;323;3;6.12.2023;12;0,57;1;0,5
Dyshawn Pierre;30;1;Baskonia Vitoria-Gasteiz;27;7;5;0;10;-3;2693;323;5;6.12.2023;12;0,57;0,75;0
Nick Calathes;35;1;Baskonia Vitoria-Gasteiz;14;3;4;4;5;-6;2693;323;5;6.12.2023;12;0,57;0;0,33
Shane Larkin;31;0;Panathinaikos Athens;34;20;1;3;19;9;0;0;3;5.12.2023;12;0,67;0,67;0,29
Darius Thompson;28;0;Panathinaikos Athens;29;7;3;6;1;7;0;0;1;5.12.2023;12;0,67;0,33;0
Shane Larkin;31;1;ALBA Berlin;32;32;4;4;41;7;1720;165;1;7.12.2023;13;0,33;0,8;0,56
Darius Thompson;28;1;ALBA Berlin;35;13;2;8;19;8;1720;165;1;7.12.2023;13;0,33;0,57;0
Nigel Hayes-Davis;31;1;FC Barcelona;38;18;1;0;16;-4;431;80;1;8.12.2023;13;0,43;0,62;0,5
Scottie Wilbekin;31;1;FC Barcelona;23;10;2;3;13;-2;431;80;7;8.12.2023;13;0,43;0,4;0,33
Dyshawn Pierre;30;1;FC Barcelona;31;5;6;2;11;-12;431;80;1;8.12.2023;13;0,43;1;1
Marko Guduric;29;1;FC Barcelona;13;4;2;0;-1;-13;431;80;1;8.12.2023;13;0,43;0,4;0
Darius Thompson;28;1;Maccabi Playtika Tel Aviv;37;22;4;7;26;-5;1138;80;2;14.12.2023;14;0,67;0,54;0,29
Shane Larkin;31;1;Maccabi Playtika Tel Aviv;34;17;1;6;18;0;1138;80;2;14.12.2023;14;0,67;0,4;0,4
Nigel Hayes-Davis;31;0;AS Monaco;34;23;6;2;25;7;0;0;3;15.12.2023;14;0,5;0,45;0,33
Scottie Wilbekin;31;0;AS Monaco;25;13;3;5;19;4;0;0;3;15.12.2023;14;0,5;1;0,17
Nick Calathes;35;0;AS Monaco;27;7;10;3;12;9;0;0;3;15.12.2023;14;0,5;0,4;0,25
Marko Guduric;29;0;AS Monaco;26;10;3;2;10;4;0;0;3;15.12.2023;14;0,5;1;0,4
Dyshawn Pierre;30;0;AS Monaco;15;4;5;3;8;6;0;0;6;15.12.2023;14;0,5;1;0
Shane Larkin;31;1;FC Bayern Munich;33;10;7;6;18;-13;1571;110;3;20.12.2023;15;0,5;0,67;0,17
Darius Thompson;28;1;FC Bayern Munich;28;13;1;2;6;-8;1571;110;3;20.12.2023;15;0,5;0,67;0
Elijah Bryant;29;1;FC Bayern Munich;25;7;4;2;2;-12;1571;110;7;20.12.2023;15;0,5;0,5;0
Scottie Wilbekin;31;0;Zalgiris Kaunas;27;17;1;3;17;16;0;0;4;20.12.2023;15;0;0;0,71
Nick Calathes;35;0;Zalgiris Kaunas;20;5;3;6;10;-5;0;0;4;20.12.2023;15;0;0,5;0,33
Nigel Hayes-Davis;31;0;Zalgiris Kaunas;32;6;4;1;9;7;0;0;2;20.12.2023;15;0;0,4;0
Marko Guduric;29;0;Zalgiris Kaunas;22;7;2;2;9;6;0;0;4;20.12.2023;15;0;0,5;1
Dyshawn Pierre;30;0;Zalgiris Kaunas;23;7;8;0;8;-9;0;0;2;20.12.2023;15;0;0,5;0
Scottie Wilbekin;31;1;ALBA Berlin;26;20;3;6;22;12;1720;165;1;22.12.2023;16;0,33;0,67;0,45
Nick Calathes;35;1;ALBA Berlin;30;4;5;0;17;19;1720;165;1;22.12.2023;16;0,33;0,33;0
Nigel Hayes-Davis;31;1;ALBA Berlin;33;7;5;0;7;6;1720;165;1;22.12.2023;16;0,33;0,67;0,25
Dyshawn Pierre;30;1;ALBA Berlin;32;4;5;1;6;9;1720;165;1;22.12.2023;16;0,33;0,33;0
Shane Larkin;31;0;Baskonia Vitoria-Gasteiz;34;23;5;5;25;-4;0;0;1;22.12.2023;16;0,57;0,71;0,36
Elijah Bryant;29;0;Baskonia Vitoria-Gasteiz;26;8;7;4;19;-9;0;0;1;22.12.2023;16;0,57;0,6;0
Darius Thompson;28;0;Baskonia Vitoria-Gasteiz;29;8;4;2;10;-4;0;0;1;22.12.2023;16;0,57;0,57;0
Rodrigue Beaubois;36;0;Baskonia Vitoria-Gasteiz;21;5;3;2;0;-9;0;0;7;22.12.2023;16;0,57;0,25;0,2
Shane Larkin;31;0;Fenerbahce Beko Istanbul;35;28;5;5;37;-10;0;0;5;28.12.2023;17;0,67;0,78;0,33
Nigel Hayes-Davis;31;1;Anadolu Efes Istanbul;36;24;6;0;27;5;0;0;5;28.12.2023;17;0,29;0,62;0,8
Nick Calathes;35;1;Anadolu Efes Istanbul;26;17;1;8;24;9;0;0;5;28.12.2023;17;0,29;1;0,6
Darius Thompson;28;0;Fenerbahce Beko Istanbul;28;7;4;3;8;-2;0;0;3;28.12.2023;17;0,67;0,33;0
Scottie Wilbekin;31;1;Anadolu Efes Istanbul;28;6;4;7;8;13;0;0;5;28.12.2023;17;0,29;0;0,29
Rodrigue Beaubois;36;0;Fenerbahce Beko Istanbul;26;10;1;2;6;-10;0;0;3;28.12.2023;17;0,67;0,71;0
Elijah Bryant;29;0;Fenerbahce Beko Istanbul;22;8;2;3;5;3;0;0;3;28.12.2023;17;0,67;0,33;0,5
Marko Guduric;29;1;Anadolu Efes Istanbul;17;8;3;2;5;7;0;0;2;28.12.2023;17;0,29;0,75;0
Dyshawn Pierre;30;1;Anadolu Efes Istanbul;13;2;3;0;4;-3;0;0;2;28.12.2023;17;0,29;1;0
Shane Larkin;31;1;Valencia Basket;33;20;3;5;20;-2;3278;231;5;3.01.2024;18;0,43;0,25;0,57
Rodrigue Beaubois;36;1;Valencia Basket;32;8;3;7;18;6;3278;231;5;3.01.2024;18;0,43;0,33;0,4
Elijah Bryant;29;1;Valencia Basket;27;13;5;3;16;-7;3278;231;5;3.01.2024;18;0,43;0,5;0,6
Darius Thompson;28;1;Valencia Basket;26;12;2;2;9;-10;3278;231;5;3.01.2024;18;0,43;0,22;0,4
Nigel Hayes-Davis;31;0;Crvena Zvezda Belgrade;31;21;9;1;28;-17;0;0;2;2.01.2024;18;0,57;0,5;1
Scottie Wilbekin;31;0;Crvena Zvezda Belgrade;24;14;1;4;10;-2;0;0;4;2.01.2024;18;0,57;0,2;0,5
Nick Calathes;35;0;Crvena Zvezda Belgrade;26;2;4;3;8;-7;0;0;4;2.01.2024;18;0,57;1;0
Marko Guduric;29;0;Crvena Zvezda Belgrade;23;3;2;0;2;-4;0;0;4;2.01.2024;18;0,57;0;0,33
